transaction_key,client_key,article_key,date_key,montant_usd,note_avis,mode_paiement,date_achat
181,3968,20,20221206,186.0,4.5,Credit Card,2022-12-06
182,3968,30,20230204,49.0,,Cash,2023-02-04
183,3968,42,20230228,188.0,3.4,Cash,2023-02-28
184,3968,45,20230316,168.0,3.8,Cash,2023-03-16
185,3968,46,20230318,114.0,1.4,Cash,2023-03-18
186,3968,25,20230330,47.0,2.6,Credit Card,2023-03-30
187,3968,41,20230416,35.0,1.1,Cash,2023-04-16
188,3968,50,20230419,73.0,2.2,Cash,2023-04-19
189,3968,9,20230422,151.0,4.2,Credit Card,2023-04-22
190,3968,2,20230607,105.0,1.0,Credit Card,2023-06-07
191,3968,30,20230718,164.0,,Cash,2023-07-18
192,3968,9,20230727,129.0,4.7,Credit Card,2023-07-27
193,3968,31,20230802,95.0,2.6,Credit Card,2023-08-02
194,3968,45,20230813,92.0,1.7,Credit Card,2023-08-13
195,3968,26,20230831,149.0,,Credit Card,2023-08-31
196,3968,24,20230921,57.0,1.9,Credit Card,2023-09-21
197,3969,15,20221201,20.0,,Cash,2022-12-01
198,3969,45,20230128,52.0,4.5,Credit Card,2023-01-28
199,3969,6,20230217,97.0,2.7,Credit Card,2023-02-17
200,3969,13,20230509,59.0,3.2,Credit Card,2023-05-09
201,3969,42,20230608,138.0,2.2,Credit Card,2023-06-08
202,3969,44,20230731,132.0,1.8,Credit Card,2023-07-31
203,3969,27,20230804,48.0,3.8,Cash,2023-08-04
204,3969,21,20230807,96.0,2.8,Cash,2023-08-07
205,3969,11,20230812,88.0,3.2,Cash,2023-08-12
206,3969,48,20230823,178.0,2.8,Credit Card,2023-08-23
207,3969,3,20230826,146.0,,Cash,2023-08-26
208,3969,4,20230904,36.0,1.4,Credit Card,2023-09-04
209,3969,48,20230915,45.0,2.5,Cash,2023-09-15
210,3970,30,20221212,19.0,3.5,Cash,2022-12-12
211,3970,20,20221213,134.0,4.0,Credit Card,2022-12-13
212,3970,48,20221216,78.0,,Cash,2022-12-16
213,3970,40,20230103,191.0,4.0,Cash,2023-01-03
214,3970,7,20230105,77.0,2.4,Cash,2023-01-05
215,3970,39,20230130,54.0,2.3,Credit Card,2023-01-30
216,3970,47,20230202,166.0,3.1,Credit Card,2023-02-02
217,3970,11,20230319,157.0,2.3,Credit Card,2023-03-19
218,3970,31,20230415,185.0,4.4,Credit Card,2023-04-15
219,3970,37,20230507,147.0,2.2,Credit Card,2023-05-07
220,3970,7,20230509,138.0,4.7,Cash,2023-05-09
221,3970,5,20230607,183.0,3.2,Credit Card,2023-06-07
222,3970,8,20230707,70.0,3.8,Credit Card,2023-07-07
223,3970,34,20230710,117.0,2.8,Credit Card,2023-07-10
224,3970,32,20230712,19.0,3.6,Cash,2023-07-12
225,3970,15,20230714,24.0,,Cash,2023-07-14
226,3970,44,20230714,87.0,,Cash,2023-07-14
227,3970,20,20230721,183.0,1.9,Cash,2023-07-21
228,3970,24,20230723,72.0,2.5,Credit Card,2023-07-23
229,3970,32,20230810,165.0,1.8,Credit Card,2023-08-10
230,3970,38,20230921,75.0,2.7,Cash,2023-09-21
231,3971,45,20221011,116.0,4.5,Credit Card,2022-10-11
232,3971,3,20221013,151.0,4.7,Credit Card,2022-10-13
233,3971,49,20221021,107.0,,Cash,2022-10-21
234,3971,26,20221103,45.0,1.6,Cash,2022-11-03
235,3971,30,20221122,107.0,3.1,Credit Card,2022-11-22
236,3971,1,20221223,88.0,,Credit Card,2022-12-23
237,3971,49,20230121,58.0,3.9,Cash,2023-01-21
238,3971,5,20230301,152.0,,Credit Card,2023-03-01
239,3971,32,20230525,115.0,1.7,Credit Card,2023-05-25
240,3971,20,20230615,66.0,2.5,Cash,2023-06-15
241,3971,15,20230717,73.0,2.0,Credit Card,2023-07-17
242,3971,41,20230722,142.0,1.7,Cash,2023-07-22
243,3971,4,20230806,180.0,3.9,Cash,2023-08-06
244,3971,30,20230823,26.0,,Credit Card,2023-08-23
245,3971,32,20230829,67.0,3.2,Cash,2023-08-29
246,3972,35,20221026,31.0,3.2,Credit Card,2022-10-26
247,3972,47,20221108,126.0,3.8,Credit Card,2022-11-08
248,3972,49,20221120,22.0,3.0,Credit Card,2022-11-20
249,3972,9,20221222,28.0,4.6,Credit Card,2022-12-22
250,3972,5,20230126,90.0,4.6,Credit Card,2023-01-26
251,3972,10,20230202,195.0,2.1,Cash,2023-02-02
252,3972,31,20230204,120.0,4.6,Cash,2023-02-04
253,3972,8,20230416,109.0,1.4,Credit Card,2023-04-16
254,3972,36,20230418,42.0,2.8,Credit Card,2023-04-18
255,3972,33,20230422,64.0,3.3,Cash,2023-04-22
256,3972,26,20230506,3378.0,3.6,Cash,2023-05-06
257,3972,34,20230529,55.0,4.6,Credit Card,2023-05-29
258,3972,20,20230623,161.0,1.4,Cash,2023-06-23
259,3972,27,20230623,174.0,2.1,Credit Card,2023-06-23
260,3972,25,20230626,40.0,2.9,Cash,2023-06-26
261,3972,43,20230630,126.0,4.9,Cash,2023-06-30
262,3972,5,20230708,19.0,3.8,Credit Card,2023-07-08
263,3972,18,20230716,158.0,4.5,Cash,2023-07-16
264,3973,16,20221003,62.0,3.5,Cash,2022-10-03
265,3973,30,20221006,127.0,1.3,Cash,2022-10-06
266,3973,6,20221017,61.0,4.7,Credit Card,2022-10-17
267,3973,43,20221022,134.0,3.2,Cash,2022-10-22
268,3973,1,20221027,160.0,1.9,Credit Card,2022-10-27
269,3973,13,20221030,189.0,2.5,Credit Card,2022-10-30
270,3973,46,20221110,2419.0,4.6,Cash,2022-11-10
271,3973,9,20221220,120.0,1.6,Credit Card,2022-12-20
272,3973,38,20221221,162.0,3.8,Cash,2022-12-21
273,3973,42,20230114,107.0,1.5,Credit Card,2023-01-14
274,3973,48,20230121,115.0,2.0,Cash,2023-01-21
275,3973,23,20230210,142.0,,Cash,2023-02-10
276,3973,20,20230426,21.0,4.2,Cash,2023-04-26
277,3973,8,20230427,92.0,1.8,Credit Card,2023-04-27
278,3973,32,20230531,196.0,2.9,Cash,2023-05-31
279,3973,33,20230628,117.0,1.9,Cash,2023-06-28
280,3973,36,20230701,153.0,4.7,Cash,2023-07-01
281,3973,2,20230708,157.0,3.3,Cash,2023-07-08
282,3973,48,20230712,57.0,3.0,Cash,2023-07-12
283,3973,33,20230718,112.0,1.8,Cash,2023-07-18
284,3973,2,20230810,136.0,4.2,Credit Card,2023-08-10
285,3973,13,20230811,32.0,2.4,Cash,2023-08-11
286,3973,25,20230811,33.0,2.8,Cash,2023-08-11
287,3973,23,20230901,44.0,2.1,Credit Card,2023-09-01
288,3973,3,20230904,144.0,4.1,Cash,2023-09-04
289,3974,46,20221020,189.0,4.0,Cash,2022-10-20
290,3974,15,20221115,190.0,,Credit Card,2022-11-15
291,3974,42,20221205,96.0,3.6,Credit Card,2022-12-05
292,3974,25,20221218,154.0,1.3,Cash,2022-12-18
293,3974,8,20221221,67.0,,Cash,2022-12-21
294,3974,4,20221230,107.0,1.3,Credit Card,2022-12-30
295,3974,42,20221230,87.0,4.2,Credit Card,2022-12-30
296,3974,32,20221231,27.0,1.4,Cash,2022-12-31
297,3974,31,20230105,10.0,4.4,Cash,2023-01-05
298,3974,50,20230116,119.0,4.6,Cash,2023-01-16
299,3974,50,20230204,150.0,3.4,Credit Card,2023-02-04
300,3974,41,20230222,47.0,,Credit Card,2023-02-22
301,3974,43,20230304,153.0,2.6,Cash,2023-03-04
302,3974,12,20230416,2026.0,4.0,Cash,2023-04-16
303,3974,29,20230709,169.0,2.8,Cash,2023-07-09
304,3974,12,20230802,129.0,3.1,Credit Card,2023-08-02
305,3974,36,20230826,112.0,,Credit Card,2023-08-26
306,3974,8,20230906,115.0,2.1,Cash,2023-09-06
307,3974,10,20230929,27.0,1.5,Credit Card,2023-09-29
308,3975,33,20221117,105.0,,Credit Card,2022-11-17
309,3975,9,20221120,101.0,3.0,Credit Card,2022-11-20
310,3975,18,20221209,131.0,4.6,Credit Card,2022-12-09
311,3975,7,20230207,14.0,3.5,Cash,2023-02-07
312,3975,1,20230209,71.0,1.6,Cash,2023-02-09
313,3975,36,20230222,121.0,1.1,Credit Card,2023-02-22
314,3975,3,20230415,18.0,4.9,Credit Card,2023-04-15
315,3975,21,20230703,76.0,2.4,Credit Card,2023-07-03
316,3975,42,20230722,195.0,4.0,Cash,2023-07-22
317,3975,40,20230913,118.0,2.7,Cash,2023-09-13
318,3975,49,20230929,60.0,3.7,Credit Card,2023-09-29
319,3976,21,20221211,99.0,2.2,Credit Card,2022-12-11
320,3976,47,20221231,140.0,4.5,Credit Card,2022-12-31
321,3976,10,20230126,102.0,2.2,Cash,2023-01-26
322,3976,7,20230304,125.0,1.5,Cash,2023-03-04
323,3976,23,20230415,31.0,1.1,Credit Card,2023-04-15
324,3976,37,20230421,147.0,,Cash,2023-04-21
325,3976,32,20230426,98.0,3.6,Credit Card,2023-04-26
326,3976,30,20230523,83.0,,Credit Card,2023-05-23
327,3976,43,20230523,97.0,4.4,Cash,2023-05-23
328,3976,18,20230526,86.0,,Cash,2023-05-26
329,3976,34,20230618,146.0,3.3,Credit Card,2023-06-18
330,3976,35,20230618,4069.0,4.9,Credit Card,2023-06-18
331,3976,7,20230621,164.0,4.3,Credit Card,2023-06-21
332,3976,40,20230722,136.0,3.4,Credit Card,2023-07-22
333,3976,37,20230724,134.0,2.1,Credit Card,2023-07-24
334,3976,32,20230818,165.0,2.9,Credit Card,2023-08-18
335,3976,42,20230926,189.0,4.0,Credit Card,2023-09-26
336,3976,49,20230928,150.0,2.9,Credit Card,2023-09-28
337,3977,34,20221007,39.0,2.4,Credit Card,2022-10-07
338,3977,22,20221015,64.0,1.6,Cash,2022-10-15
339,3977,33,20221105,89.0,3.6,Cash,2022-11-05
340,3977,35,20221227,33.0,1.9,Credit Card,2022-12-27
341,3977,22,20230108,113.0,,Credit Card,2023-01-08
342,3977,24,20230215,30.0,,Cash,2023-02-15
343,3977,25,20230219,39.0,4.3,Credit Card,2023-02-19
344,3977,26,20230321,55.0,3.1,Credit Card,2023-03-21
345,3977,24,20230322,150.0,4.7,Cash,2023-03-22
346,3977,26,20230421,11.0,4.7,Cash,2023-04-21
347,3977,6,20230425,73.0,3.9,Credit Card,2023-04-25
348,3977,20,20230428,91.0,3.9,Credit Card,2023-04-28
349,3977,39,20230502,69.0,3.6,Cash,2023-05-02
350,3977,5,20230623,167.0,4.5,Credit Card,2023-06-23
351,3977,4,20230821,72.0,3.4,Credit Card,2023-08-21
352,3977,49,20230920,73.0,4.3,Credit Card,2023-09-20
353,3978,7,20221014,102.0,4.3,Cash,2022-10-14
354,3978,10,20221028,180.0,4.3,Cash,2022-10-28
355,3978,11,20221029,164.0,3.2,Cash,2022-10-29
356,3978,31,20221031,49.0,4.5,Cash,2022-10-31
357,3978,5,20221122,32.0,2.6,Credit Card,2022-11-22
358,3978,37,20221129,35.0,1.2,Cash,2022-11-29
359,3978,27,20221224,104.0,3.9,Cash,2022-12-24
360,3978,28,20230105,139.0,3.2,Cash,2023-01-05
361,3978,3,20230115,146.0,3.7,Credit Card,2023-01-15
362,3978,14,20230117,37.0,5.0,Cash,2023-01-17
363,3978,44,20230201,112.0,2.3,Cash,2023-02-01
364,3978,8,20230206,174.0,3.8,Credit Card,2023-02-06
365,3978,1,20230218,154.0,2.6,Credit Card,2023-02-18
366,3978,19,20230311,173.0,3.5,Cash,2023-03-11
367,3978,17,20230312,175.0,4.1,Credit Card,2023-03-12
368,3978,39,20230422,196.0,3.5,Cash,2023-04-22
369,3978,28,20230425,191.0,1.4,Credit Card,2023-04-25
370,3978,13,20230514,185.0,4.0,Cash,2023-05-14
371,3978,23,20230629,175.0,4.2,Cash,2023-06-29
372,3978,50,20230711,102.0,2.0,Credit Card,2023-07-11
373,3978,16,20230826,50.0,4.7,Credit Card,2023-08-26
374,3978,24,20230906,186.0,1.6,Cash,2023-09-06
375,3978,13,20230910,116.0,,Credit Card,2023-09-10
376,3978,39,20230928,133.0,3.4,Credit Card,2023-09-28
377,3979,33,20221022,183.0,1.4,Credit Card,2022-10-22
378,3979,23,20221023,13.0,2.9,Cash,2022-10-23
379,3979,16,20221119,128.0,1.5,Credit Card,2022-11-19
380,3979,48,20221208,56.0,3.1,Credit Card,2022-12-08
381,3979,22,20221230,137.0,1.9,Credit Card,2022-12-30
382,3979,12,20230330,30.0,3.6,Cash,2023-03-30
383,3979,10,20230331,71.0,4.2,Credit Card,2023-03-31
384,3979,43,20230401,173.0,2.6,Credit Card,2023-04-01
385,3979,20,20230412,22.0,4.5,Credit Card,2023-04-12
386,3979,4,20230424,159.0,2.0,Credit Card,2023-04-24
387,3979,7,20230520,163.0,3.3,Cash,2023-05-20
388,3979,7,20230605,79.0,1.3,Cash,2023-06-05
389,3979,49,20230619,81.0,1.6,Cash,2023-06-19
390,3979,22,20230701,190.0,4.1,Cash,2023-07-01
391,3979,41,20230908,190.0,1.9,Cash,2023-09-08
392,3980,39,20221004,175.0,2.6,Cash,2022-10-04
393,3980,23,20221007,142.0,,Credit Card,2022-10-07
394,3980,41,20221123,80.0,3.0,Credit Card,2022-11-23
395,3980,14,20221213,154.0,3.7,Credit Card,2022-12-13
396,3980,28,20221224,123.0,4.0,Credit Card,2022-12-24
397,3980,28,20230123,131.0,4.6,Credit Card,2023-01-23
398,3980,21,20230125,71.0,,Cash,2023-01-25
399,3980,23,20230223,90.0,4.2,Cash,2023-02-23
400,3980,8,20230224,22.0,5.0,Cash,2023-02-24
401,3980,24,20230302,28.0,3.9,Cash,2023-03-02
402,3980,28,20230401,185.0,3.0,Credit Card,2023-04-01
403,3980,23,20230427,93.0,,Cash,2023-04-27
404,3980,17,20230508,189.0,2.1,Credit Card,2023-05-08
405,3980,25,20230526,2418.0,2.2,Credit Card,2023-05-26
406,3980,19,20230624,55.0,4.5,Credit Card,2023-06-24
407,3980,22,20230712,16.0,2.5,Credit Card,2023-07-12
408,3980,46,20230812,43.0,,Credit Card,2023-08-12
409,3980,27,20230813,99.0,2.3,Credit Card,2023-08-13
410,3980,41,20230825,191.0,4.1,Cash,2023-08-25
411,3980,7,20230830,56.0,4.4,Credit Card,2023-08-30
412,3981,2,20221011,42.0,3.4,Credit Card,2022-10-11
413,3981,40,20221025,99.0,4.5,Cash,2022-10-25
414,3981,5,20221117,189.0,2.0,Credit Card,2022-11-17
415,3981,10,20221212,35.0,2.8,Credit Card,2022-12-12
416,3981,32,20221224,91.0,1.7,Credit Card,2022-12-24
417,3981,32,20230219,200.0,4.4,Credit Card,2023-02-19
418,3981,30,20230309,182.0,4.9,Cash,2023-03-09
419,3981,39,20230311,33.0,2.8,Cash,2023-03-11
420,3981,43,20230401,114.0,4.3,Cash,2023-04-01
421,3981,34,20230510,157.0,4.2,Cash,2023-05-10
422,3981,6,20230623,194.0,1.9,Credit Card,2023-06-23
423,3981,26,20230708,42.0,1.8,Credit Card,2023-07-08
424,3981,5,20230910,3718.0,2.8,Credit Card,2023-09-10
425,3982,28,20221122,188.0,3.7,Credit Card,2022-11-22
426,3982,24,20230123,182.0,4.9,Credit Card,2023-01-23
427,3982,4,20230124,66.0,1.1,Cash,2023-01-24
428,3982,23,20230223,132.0,1.1,Cash,2023-02-23
429,3982,39,20230313,157.0,,Credit Card,2023-03-13
430,3982,14,20230401,55.0,4.7,Cash,2023-04-01
431,3982,10,20230425,154.0,3.9,Cash,2023-04-25
432,3982,16,20230502,196.0,1.8,Cash,2023-05-02
433,3982,44,20230512,44.0,,Credit Card,2023-05-12
434,3982,20,20230518,140.0,3.1,Credit Card,2023-05-18
435,3982,47,20230526,119.0,3.4,Credit Card,2023-05-26
436,3982,4,20230606,58.0,,Credit Card,2023-06-06
437,3982,33,20230727,151.0,2.9,Credit Card,2023-07-27
438,3982,43,20230808,79.0,2.5,Credit Card,2023-08-08
439,3982,2,20230904,198.0,,Cash,2023-09-04
440,3982,5,20230912,190.0,1.1,Cash,2023-09-12
441,3983,18,20221108,105.0,3.1,Cash,2022-11-08
442,3983,5,20230326,94.0,4.7,Cash,2023-03-26
443,3983,18,20230411,173.0,4.5,Cash,2023-04-11
444,3983,12,20230412,93.0,4.9,Cash,2023-04-12
445,3983,15,20230424,167.0,2.1,Credit Card,2023-04-24
446,3983,20,20230513,75.0,2.8,Credit Card,2023-05-13
447,3983,20,20230515,142.0,3.9,Credit Card,2023-05-15
448,3983,26,20230720,75.0,3.1,Cash,2023-07-20
449,3983,24,20230721,111.0,1.7,Cash,2023-07-21
450,3983,32,20230903,85.0,3.5,Cash,2023-09-03
451,3983,50,20230922,19.0,2.4,Cash,2023-09-22
452,3983,15,20230930,24.0,4.1,Credit Card,2023-09-30
453,3984,46,20221125,30.0,4.4,Cash,2022-11-25
454,3984,26,20221201,113.0,3.0,Credit Card,2022-12-01
455,3984,39,20221201,79.0,3.4,Cash,2022-12-01
456,3984,40,20221219,4859.0,5.0,Cash,2022-12-19
457,3984,20,20221227,158.0,1.7,Credit Card,2022-12-27
458,3984,12,20230204,181.0,2.3,Cash,2023-02-04
459,3984,34,20230416,182.0,4.8,Credit Card,2023-04-16
460,3984,48,20230702,185.0,2.9,Credit Card,2023-07-02
461,3984,25,20230703,195.0,4.8,Cash,2023-07-03
462,3984,15,20230708,179.0,4.3,Credit Card,2023-07-08
463,3984,45,20230714,29.0,3.5,Cash,2023-07-14
464,3984,46,20230730,104.0,1.6,Cash,2023-07-30
465,3984,37,20230804,23.0,4.7,Credit Card,2023-08-04
466,3984,11,20230825,10.0,4.1,Credit Card,2023-08-25
467,3985,38,20221005,83.0,3.4,Cash,2022-10-05
468,3985,22,20221202,67.0,2.5,Cash,2022-12-02
469,3985,11,20221219,162.0,1.2,Credit Card,2022-12-19
470,3985,2,20221224,19.0,3.1,Cash,2022-12-24
471,3985,15,20221231,45.0,2.0,Credit Card,2022-12-31
472,3985,27,20230119,32.0,4.1,Credit Card,2023-01-19
473,3985,32,20230217,111.0,3.0,Credit Card,2023-02-17
474,3985,27,20230227,160.0,1.4,Credit Card,2023-02-27
475,3985,11,20230305,159.0,2.6,Cash,2023-03-05
476,3985,8,20230306,111.0,3.7,Cash,2023-03-06
477,3985,27,20230313,134.0,2.1,Cash,2023-03-13
478,3985,10,20230408,175.0,4.6,Credit Card,2023-04-08
479,3985,26,20230409,54.0,4.3,Cash,2023-04-09
480,3985,9,20230616,166.0,1.7,Cash,2023-06-16
481,3985,40,20230726,83.0,,Credit Card,2023-07-26
482,3985,47,20230726,161.0,1.2,Cash,2023-07-26
483,3985,26,20230806,126.0,4.0,Cash,2023-08-06
484,3985,25,20230807,117.0,1.9,Cash,2023-08-07
485,3985,22,20230812,67.0,3.1,Credit Card,2023-08-12
486,3985,39,20230924,44.0,2.3,Credit Card,2023-09-24
487,3986,46,20221012,106.0,1.6,Credit Card,2022-10-12
488,3986,35,20221023,116.0,1.4,Cash,2022-10-23
489,3986,37,20221024,77.0,1.3,Credit Card,2022-10-24
490,3986,37,20221101,37.0,1.1,Credit Card,2022-11-01
491,3986,1,20221102,40.0,3.2,Cash,2022-11-02
492,3986,11,20221124,140.0,2.2,Cash,2022-11-24
493,3986,19,20221214,136.0,,Cash,2022-12-14
494,3986,47,20230130,126.0,4.1,Cash,2023-01-30
495,3986,17,20230314,29.0,2.0,Cash,2023-03-14
496,3986,6,20230316,12.0,3.1,Credit Card,2023-03-16
497,3986,35,20230319,158.0,4.7,Cash,2023-03-19
498,3986,42,20230320,52.0,5.0,Credit Card,2023-03-20
499,3986,44,20230329,63.0,2.2,Credit Card,2023-03-29
500,3986,13,20230405,4298.0,4.2,Cash,2023-04-05
501,3986,34,20230424,187.0,4.1,Credit Card,2023-04-24
502,3986,2,20230527,154.0,1.7,Cash,2023-05-27
503,3986,38,20230711,53.0,,Cash,2023-07-11
504,3986,10,20230801,93.0,3.1,Cash,2023-08-01
505,3986,14,20230922,174.0,3.8,Credit Card,2023-09-22
506,3986,21,20230925,46.0,2.2,Cash,2023-09-25
507,3987,4,20221028,96.0,1.7,Cash,2022-10-28
508,3987,14,20221221,91.0,2.5,Cash,2022-12-21
509,3987,50,20230105,60.0,4.1,Cash,2023-01-05
510,3987,16,20230114,150.0,4.0,Cash,2023-01-14
511,3987,31,20230118,193.0,4.3,Credit Card,2023-01-18
512,3987,29,20230120,109.0,3.0,Credit Card,2023-01-20
513,3987,22,20230131,146.0,1.7,Cash,2023-01-31
514,3987,1,20230221,130.0,2.5,Credit Card,2023-02-21
515,3987,28,20230226,36.0,3.4,Credit Card,2023-02-26
516,3987,25,20230301,194.0,1.3,Credit Card,2023-03-01
517,3987,27,20230616,25.0,3.1,Cash,2023-06-16
518,3987,20,20230628,101.0,3.4,Cash,2023-06-28
519,3987,12,20230722,98.0,1.8,Cash,2023-07-22
520,3987,50,20230801,123.0,2.5,Credit Card,2023-08-01
521,3987,40,20230809,160.0,2.9,Credit Card,2023-08-09
522,3987,14,20230901,85.0,1.5,Credit Card,2023-09-01
523,3988,29,20221019,62.0,,Credit Card,2022-10-19
524,3988,20,20221025,162.0,1.9,Cash,2022-10-25
525,3988,6,20221102,70.0,2.6,Credit Card,2022-11-02
526,3988,22,20221104,158.0,1.8,Credit Card,2022-11-04
527,3988,24,20221107,19.0,3.1,Credit Card,2022-11-07
528,3988,4,20221110,115.0,2.6,Credit Card,2022-11-10
529,3988,21,20221125,11.0,4.9,Credit Card,2022-11-25
530,3988,48,20230129,101.0,1.8,Credit Card,2023-01-29
531,3988,50,20230304,181.0,3.7,Credit Card,2023-03-04
532,3988,27,20230320,43.0,1.0,Cash,2023-03-20
533,3988,23,20230510,77.0,4.2,Credit Card,2023-05-10
534,3988,7,20230612,200.0,2.5,Cash,2023-06-12
535,3988,35,20230613,169.0,3.4,Credit Card,2023-06-13
536,3988,8,20230730,103.0,3.5,Credit Card,2023-07-30
537,3988,37,20230808,176.0,,Cash,2023-08-08
538,3988,17,20230810,199.0,2.2,Credit Card,2023-08-10
539,3988,41,20230830,166.0,3.5,Credit Card,2023-08-30
540,3988,45,20230831,86.0,4.5,Credit Card,2023-08-31
541,3988,35,20230924,104.0,3.5,Cash,2023-09-24
542,3989,33,20221106,21.0,4.2,Credit Card,2022-11-06
543,3989,49,20221112,71.0,3.1,Credit Card,2022-11-12
544,3989,10,20221221,142.0,4.8,Cash,2022-12-21
545,3989,33,20221222,21.0,1.1,Credit Card,2022-12-22
546,3989,5,20230117,171.0,4.8,Credit Card,2023-01-17
547,3989,25,20230124,111.0,3.9,Credit Card,2023-01-24
548,3989,30,20230126,153.0,3.4,Credit Card,2023-01-26
549,3989,49,20230206,95.0,1.8,Credit Card,2023-02-06
550,3989,40,20230313,64.0,3.2,Credit Card,2023-03-13
551,3989,22,20230416,44.0,1.6,Cash,2023-04-16
552,3989,43,20230426,49.0,4.7,Credit Card,2023-04-26
553,3989,34,20230511,182.0,4.5,Credit Card,2023-05-11
554,3989,12,20230514,138.0,,Cash,2023-05-14
555,3989,3,20230516,187.0,,Cash,2023-05-16
556,3989,24,20230519,148.0,4.1,Credit Card,2023-05-19
557,3989,18,20230723,20.0,2.3,Cash,2023-07-23
558,3989,12,20230809,198.0,4.9,Credit Card,2023-08-09
559,3989,46,20230813,144.0,3.2,Credit Card,2023-08-13
560,3989,38,20230821,34.0,4.4,Cash,2023-08-21
561,3989,20,20230913,141.0,3.3,Credit Card,2023-09-13
562,3990,11,20221007,105.0,3.8,Cash,2022-10-07
563,3990,40,20221027,48.0,,Credit Card,2022-10-27
564,3990,25,20221101,23.0,4.2,Credit Card,2022-11-01
565,3990,13,20221118,150.0,,Credit Card,2022-11-18
566,3990,17,20221216,136.0,1.2,Cash,2022-12-16
567,3990,39,20230102,127.0,1.9,Cash,2023-01-02
568,3990,13,20230109,172.0,3.9,Credit Card,2023-01-09
569,3990,2,20230111,177.0,4.7,Credit Card,2023-01-11
570,3990,33,20230213,77.0,4.4,Credit Card,2023-02-13
571,3990,39,20230405,97.0,3.5,Cash,2023-04-05
572,3990,2,20230407,137.0,1.6,Credit Card,2023-04-07
573,3990,28,20230407,91.0,3.2,Credit Card,2023-04-07
574,3990,10,20230412,23.0,4.5,Credit Card,2023-04-12
575,3990,30,20230601,91.0,3.0,Cash,2023-06-01
576,3990,50,20230714,132.0,4.3,Cash,2023-07-14
577,3990,50,20230725,77.0,2.5,Credit Card,2023-07-25
578,3990,14,20230811,187.0,1.4,Credit Card,2023-08-11
579,3990,24,20230826,20.0,,Cash,2023-08-26
580,3990,16,20230911,55.0,3.4,Credit Card,2023-09-11
581,3991,46,20221005,73.0,3.9,Credit Card,2022-10-05
582,3991,17,20221017,116.0,,Cash,2022-10-17
583,3991,11,20221120,157.0,3.7,Credit Card,2022-11-20
584,3991,24,20221202,142.0,4.1,Credit Card,2022-12-02
585,3991,11,20221209,144.0,2.2,Cash,2022-12-09
586,3991,12,20230128,55.0,3.2,Cash,2023-01-28
587,3991,3,20230503,145.0,4.5,Credit Card,2023-05-03
588,3991,22,20230627,106.0,1.6,Credit Card,2023-06-27
589,3991,28,20230814,46.0,,Credit Card,2023-08-14
590,3991,48,20230823,153.0,2.8,Cash,2023-08-23
591,3991,5,20230916,27.0,2.0,Credit Card,2023-09-16
592,3991,27,20230919,183.0,4.9,Credit Card,2023-09-19
593,3992,5,20221004,124.0,3.5,Credit Card,2022-10-04
594,3992,2,20221009,121.0,4.1,Credit Card,2022-10-09
595,3992,50,20221031,21.0,2.4,Cash,2022-10-31
596,3992,1,20221213,101.0,1.3,Credit Card,2022-12-13
597,3992,8,20221214,42.0,2.4,Credit Card,2022-12-14
598,3992,44,20230203,168.0,2.2,Credit Card,2023-02-03
599,3992,40,20230219,47.0,4.4,Credit Card,2023-02-19
600,3992,15,20230223,113.0,,Cash,2023-02-23
601,3992,39,20230224,80.0,,Cash,2023-02-24
602,3992,20,20230315,125.0,4.1,Credit Card,2023-03-15
603,3992,42,20230428,179.0,3.9,Cash,2023-04-28
604,3992,6,20230430,61.0,2.7,Credit Card,2023-04-30
605,3992,41,20230502,167.0,3.2,Cash,2023-05-02
606,3992,28,20230524,149.0,1.5,Cash,2023-05-24
607,3992,35,20230605,150.0,3.8,Cash,2023-06-05
608,3992,44,20230708,125.0,4.9,Cash,2023-07-08
609,3992,49,20230715,66.0,4.0,Cash,2023-07-15
610,3992,42,20230727,100.0,2.0,Credit Card,2023-07-27
611,3992,4,20230808,177.0,4.5,Cash,2023-08-08
612,3992,31,20230915,98.0,2.3,Credit Card,2023-09-15
613,3992,42,20230922,24.0,2.2,Credit Card,2023-09-22
614,3993,38,20221008,73.0,,Cash,2022-10-08
615,3993,42,20221113,94.0,2.7,Cash,2022-11-13
616,3993,13,20221213,116.0,2.4,Credit Card,2022-12-13
617,3993,19,20230114,90.0,4.2,Credit Card,2023-01-14
618,3993,8,20230117,27.0,3.6,Cash,2023-01-17
619,3993,45,20230228,172.0,4.2,Credit Card,2023-02-28
620,3993,25,20230304,128.0,2.7,Credit Card,2023-03-04
621,3993,18,20230407,160.0,4.5,Credit Card,2023-04-07
622,3993,40,20230414,113.0,,Credit Card,2023-04-14
623,3993,8,20230513,23.0,1.7,Cash,2023-05-13
624,3993,2,20230518,71.0,4.4,Credit Card,2023-05-18
625,3993,32,20230601,175.0,,Cash,2023-06-01
626,3993,9,20230603,176.0,,Cash,2023-06-03
627,3993,21,20230923,66.0,1.8,Cash,2023-09-23
628,3993,11,20230927,158.0,3.3,Cash,2023-09-27
629,3994,19,20221018,88.0,1.6,Credit Card,2022-10-18
630,3994,44,20221110,91.0,4.1,Cash,2022-11-10
631,3994,7,20221119,147.0,2.2,Cash,2022-11-19
632,3994,22,20221204,125.0,1.5,Cash,2022-12-04
633,3994,40,20221209,126.0,3.7,Credit Card,2022-12-09
